customer_name,total_spending,segment
"Helena Holý",49.62,High
"Richard Cunningham",47.62,High
"Luis Rojas",46.62,High
"Ladislav Kovács",45.62,High
"Hugh O'Reilly",45.62,High
"Julia Barnett",43.62,Medium
"Fynn Zimmermann",43.62,Medium
"Frank Ralston",43.62,Medium
"Astrid Gruber",42.62,Medium
"Victor Stevens",42.62,Medium
"Terhi Hämäläinen",41.62,Medium
"František Wichterlová",40.62,Medium
"Isabelle Mercier",40.62,Medium
"Johannes Van der Berg",40.62,Medium
"Luís Gonçalves",39.62,Medium
"Jack Smith",39.62,Medium
"François Tremblay",39.62,Medium
"Bjørn Hansen",39.62,Medium
"Dan Miller",39.62,Medium
"Heather Leacock",39.62,Medium
"João Fernandes",39.62,Medium
"Wyatt Girard",39.62,Medium
"Jennifer Peterson",38.62,Low
"Tim Goyer",38.62,Low
"Camille Bernard",38.62,Low
"Dominique Lefebvre",38.62,Low
"Joakim Johansson",38.62,Low
"Manoj Pareek",38.62,Low
"Robert Brown",37.62,Low
"John Gordon",37.62,Low
"Martha Silk",37.62,Low
"Aaron Mitchell",37.62,Low
"Ellie Sullivan",37.62,Low
"Leonie Köhler",37.62,Low
"Madalena Sampaio",37.62,Low
"Hannah Schneider",37.62,Low
"Edward Francis",37.62,Low
"Niklas Schröder",37.62,Low
"Kara Nielsen",37.62,Low
"Eduardo Martins",37.62,Low
"Marc Dubois",37.62,Low
"Alexandre Rocha",37.62,Low
"Roberto Almeida",37.62,Low
"Fernanda Ramos",37.62,Low
"Mark Philips",37.62,Low
"Daan Peeters",37.62,Low
"Lucas Mancini",37.62,Low
"Frank Harris",37.62,Low
"Stanisław Wójcik",37.62,Low
"Enrique Muñoz",37.62,Low
"Michelle Brooks",37.62,Low
"Emma Jones",37.62,Low
"Phil Hughes",37.62,Low
"Steve Murray",37.62,Low
"Mark Taylor",37.62,Low
"Diego Gutiérrez",37.62,Low
"Kathy Chase",37.62,Low
"Patrick Gray",37.62,Low
"Puja Srivastava",36.64,Low
